3593 5882 13
3619 4629 11
7565 8611 19
5679 9061 7
5576 9876 9
1719 7811 17
441 7537 17
7899 8548 11
4033 8134 20
8068 9188 4
7255 7861 14
7629 8961 14
5053 5631 2
4332 7442 3
5561 6746 5
1724 6484 11
7656 9414 9
4372 7414 1
6338 8997 9
8957 9321 18
697 4495 11
1266 1444 2
4938 9867 16
9977 9999 9
6229 9934 7
3115 3798 6
4393 7592 5
2950 3557 17
6310 6604 20
5464 8141 18
4607 5027 9
7413 7873 13
5621 6591 5
7465 7801 9
5629 9614 18
8781 9564 4
6195 6450 4
7312 8388 5
1502 8501 2
1207 8670 5
9399 9637 4
4701 9388 6
8437 8645 3
7537 9606 7
9000 9861 4
6746 7271 14
6493 6575 2
1760 7681 11
1741 2669 19
9097 9650 7
8868 9301 13
3817 6562 7
3855 3934 5
2944 4849 5
7394 8018 1
711 2123 5
7804 8893 9
3948 8484 5
9151 9597 19
1077 9456 3
1141 1775 9
7379 8083 13
3586 7683 12
163 1836 1
6489 8503 7
595 9998 13
9659 9722 11
1148 2228 19
5467 9605 1
7997 8508 9
3619 5447 15
6089 9353 17
8811 9616 6
3766 7284 2
1281 2350 7
3542 9962 1
2314 4226 20
2247 4478 18
3229 6709 12
4621 7014 17
5093 8961 17
729 6652 15
8741 9005 15
2048 4584 11
305 7446 13
1155 6984 6
9631 9705 7
545 2937 15
8720 9967 8
4728 9670 10
7333 8586 13
1712 6481 12
8710 9534 20
5625 9687 10
7635 9408 18
4991 6027 19
3872 4367 17
3533 3606 19
7954 8210 17
8407 9283 1
403 9198 3
5375 8217 13
5689 6019 1
7721 8564 9
3886 9067 9
5678 6752 14
6936 9008 5
9374 9588 10
747 9179 14
1703 6758 17
7829 8120 1
4455 5226 7
4476 9630 14
1193 5985 1
9696 9924 1
8109 8133 13
932 5832 17
883 6244 10
3252 7271 14
1384 4066 8
7532 9317 14
1998 6532 17
2618 9872 17
1885 7332 17
5386 8762 15
490 7424 12
8227 9374 8
8536 9284 18
2179 9207 20
2324 3195 2
267 1413 2
2803 3426 16
5134 8948 5
4648 9662 9
2751 7502 13
7526 9743 17
7881 9706 9
8569 8911 13
9181 9985 17
4827 5573 17
7053 8622 13
3953 6969 6
9181 9427 4
5015 7118 11
1299 4644 8
6263 9619 7
9977 9978 19
9436 9774 2
378 3754 1
6242 9551 13
2777 9226 14
4494 7977 19
7686 9069 8
8741 9439 18
4886 6707 1
474 1436 8
132 7876 1
8905 8935 8
6840 9522 7
4668 7983 17
2648 9836 2
8880 9411 17
9445 9876 14
5943 9352 8
665 6542 7
6756 8903 20
1357 3050 1
9709 9927 6
3850 5690 7
1496 3253 10
4697 5014 3
5169 7055 8
9171 9291 16
3887 6118 3
5406 9955 1
7362 9988 6
5055 6141 3
1419 7838 17
1097 1344 18
6744 7839 19
7165 7736 19
3218 5285 8
5824 7577 13
7981 8996 12
2498 6745 16
887 7285 3
8427 9154 5
1123 3219 2
3656 9825 11
7333 8205 13
2394 4257 12
5389 9163 11
886 2960 4
3770 9794 3
2805 9135 6
2748 7007 6
4663 6229 17
4504 9035 19
1179 9782 17
3911 4751 11
730 8747 6
2492 4652 19
374 584 13
8095 8275 15
